Color,Color Name,hexadecimal value,Red,Green,Blue,Season
alabama_crimson,Alabama Crimson,#a32638,163,38,56,Autumn
alizarin_crimson,Alizarin Crimson,#e32636,227,38,54,Autumn
alloy_orange,Alloy Orange,#c46210,196,98,16,Autumn
amaranth,Amaranth,#e52b50,229,43,80,Autumn
amber_sae_ece,Amber (Sae/Ece),#ff7e00,255,126,0,Autumn
american_rose,American Rose,#ff033e,255,3,62,Autumn
antique_fuchsia,Antique Fuchsia,#915c83,145,92,131,Autumn
antique_ruby,Antique Ruby,#841b2d,132,27,45,Autumn
apple_green,Apple Green,#8db600,141,182,0,Autumn
army_green,Army Green,#4b5320,75,83,32,Autumn
auburn,Auburn,#a52a2a,165,42,42,Autumn
avocado,Avocado,#568203,86,130,3,Autumn
barn_red,Barn Red,#7c0a02,124,10,2,Autumn
battleship_grey,Battleship Grey,#848482,132,132,130,Autumn
bazaar,Bazaar,#98777b,152,119,123,Autumn
beaver,Beaver,#9f8170,159,129,112,Autumn
big_dip_o_ruby,Big Dip O’Ruby,#9c2542,156,37,66,Autumn
bistre,Bistre,#3d2b1f,61,43,31,Autumn
bittersweet_shimmer,Bittersweet Shimmer,#bf4f51,191,79,81,Autumn
black_bean,Black Bean,#3d0c02,61,12,2,Autumn
black_olive,Black Olive,#3b3c36,59,60,54,Autumn
blast_off_bronze,Blast-Off Bronze,#a57164,165,113,100,Autumn
bole,Bole,#79443b,121,68,59,Autumn
boston_university_red,Boston University Red,#c00,204,0,0,Autumn
boysenberry,Boysenberry,#873260,135,50,96,Autumn
brick_red,Brick Red,#cb4154,203,65,84,Autumn
bright_green,Bright Green,#6f0,102,255,0,Autumn
bright_maroon,Bright Maroon,#c32148,195,33,72,Autumn
bright_pink,Bright Pink,#ff007f,255,0,127,Autumn
bronze,Bronze,#cd7f32,205,127,50,Autumn
brown_traditional,Brown (Traditional),#964b00,150,75,0,Autumn
brown_web,Brown (Web),#a52a2a,165,42,42,Autumn
bulgarian_rose,Bulgarian Rose,#480607,72,6,7,Autumn
burgundy,Burgundy,#800020,128,0,32,Autumn
burnt_orange,Burnt Orange,#c50,204,85,0,Autumn
burnt_umber,Burnt Umber,#8a3324,138,51,36,Autumn
byzantium,Byzantium,#702963,112,41,99,Autumn
cadmium_red,Cadmium Red,#e30022,227,0,34,Autumn
caf_au_lait,Café Au Lait,#a67b5b,166,123,91,Autumn
caf_noir,Café Noir,#4b3621,75,54,33,Autumn
camouflage_green,Camouflage Green,#78866b,120,134,107,Autumn
candy_apple_red,Candy Apple Red,#ff0800,255,8,0,Autumn
caput_mortuum,Caput Mortuum,#592720,89,39,32,Autumn
cardinal,Cardinal,#c41e3a,196,30,58,Autumn
carmine,Carmine,#960018,150,0,24,Autumn
carmine_m_p,Carmine (M&P),#d70040,215,0,64,Autumn
carmine_pink,Carmine Pink,#eb4c42,235,76,66,Autumn
carmine_red,Carmine Red,#ff0038,255,0,56,Autumn
carnelian,Carnelian,#b31b1b,179,27,27,Autumn
cerise,Cerise,#de3163,222,49,99,Autumn
cg_red,Cg Red,#e03c31,224,60,49,Autumn
chamoisee,Chamoisee,#a0785a,160,120,90,Autumn
chartreuse_web,Chartreuse (Web),#7fff00,127,255,0,Autumn
cherry,Cherry,#de3163,222,49,99,Autumn
chestnut,Chestnut,#cd5c5c,205,92,92,Autumn
china_rose,China Rose,#a8516e,168,81,110,Autumn
chinese_red,Chinese Red,#aa381e,170,56,30,Autumn
chocolate_traditional,Chocolate (Traditional),#7b3f00,123,63,0,Autumn
chocolate_web,Chocolate (Web),#d2691e,210,105,30,Autumn
cinnabar,Cinnabar,#e34234,227,66,52,Autumn
cinnamon,Cinnamon,#d2691e,210,105,30,Autumn
cocoa_brown,Cocoa Brown,#d2691e,210,105,30,Autumn
coffee,Coffee,#6f4e37,111,78,55,Autumn
copper,Copper,#b87333,184,115,51,Autumn
copper_penny,Copper Penny,#ad6f69,173,111,105,Autumn
copper_red,Copper Red,#cb6d51,203,109,81,Autumn
copper_rose,Copper Rose,#966,153,102,102,Autumn
coquelicot,Coquelicot,#ff3800,255,56,0,Autumn
coral_red,Coral Red,#ff4040,255,64,64,Autumn
cordovan,Cordovan,#893f45,137,63,69,Autumn
cornell_red,Cornell Red,#b31b1b,179,27,27,Autumn
crimson,Crimson,#dc143c,220,20,60,Autumn
crimson_glory,Crimson Glory,#be0032,190,0,50,Autumn
dark_brown,Dark Brown,#654321,101,67,33,Autumn
dark_byzantium,Dark Byzantium,#5d3954,93,57,84,Autumn
dark_candy_apple_red,Dark Candy Apple Red,#a40000,164,0,0,Autumn
dark_chestnut,Dark Chestnut,#986960,152,105,96,Autumn
dark_coral,Dark Coral,#cd5b45,205,91,69,Autumn
dark_goldenrod,Dark Goldenrod,#b8860b,184,134,11,Autumn
dark_lava,Dark Lava,#483c32,72,60,50,Autumn
dark_olive_green,Dark Olive Green,#556b2f,85,107,47,Autumn
dark_orange,Dark Orange,#ff8c00,255,140,0,Autumn
dark_pastel_red,Dark Pastel Red,#c23b22,194,59,34,Autumn
dark_raspberry,Dark Raspberry,#872657,135,38,87,Autumn
dark_red,Dark Red,#8b0000,139,0,0,Autumn
