Color,Color Name,hexadecimal value,Red,Green,Blue,Season
almond,Almond,#efdecd,239,222,205,Spring
amber,Amber,#ffbf00,255,191,0,Spring
android_green,Android Green,#a4c639,164,198,57,Spring
antique_brass,Antique Brass,#cd9575,205,149,117,Spring
antique_white,Antique White,#faebd7,250,235,215,Spring
apricot,Apricot,#fbceb1,251,206,177,Spring
arylide_yellow,Arylide Yellow,#e9d66b,233,214,107,Spring
asparagus,Asparagus,#87a96b,135,169,107,Spring
atomic_tangerine,Atomic Tangerine,#f96,255,153,102,Spring
aureolin,Aureolin,#fdee00,253,238,0,Spring
baby_pink,Baby Pink,#f4c2c2,244,194,194,Spring
banana_mania,Banana Mania,#fae7b5,250,231,181,Spring
banana_yellow,Banana Yellow,#ffe135,255,225,53,Spring
beige,Beige,#f5f5dc,245,245,220,Spring
bisque,Bisque,#ffe4c4,255,228,196,Spring
bittersweet,Bittersweet,#fe6f5e,254,111,94,Spring
blanched_almond,Blanched Almond,#ffebcd,255,235,205,Spring
blond,Blond,#faf0be,250,240,190,Spring
blush,Blush,#de5d83,222,93,131,Spring
bone,Bone,#e3dac9,227,218,201,Spring
brass,Brass,#b5a642,181,166,66,Spring
brilliant_rose,Brilliant Rose,#ff55a3,255,85,163,Spring
brink_pink,Brink Pink,#fb607f,251,96,127,Spring
bubble_gum,Bubble Gum,#ffc1cc,255,193,204,Spring
buff,Buff,#f0dc82,240,220,130,Spring
burlywood,Burlywood,#deb887,222,184,135,Spring
burnt_sienna,Burnt Sienna,#e97451,233,116,81,Spring
byzantine,Byzantine,#bd33a4,189,51,164,Spring
cadmium_orange,Cadmium Orange,#ed872d,237,135,45,Spring
cadmium_yellow,Cadmium Yellow,#fff600,255,246,0,Spring
camel,Camel,#c19a6b,193,154,107,Spring
cameo_pink,Cameo Pink,#efbbcc,239,187,204,Spring
canary_yellow,Canary Yellow,#ffef00,255,239,0,Spring
candy_pink,Candy Pink,#e4717a,228,113,122,Spring
carnation_pink,Carnation Pink,#ffa6c9,255,166,201,Spring
carrot_orange,Carrot Orange,#ed9121,237,145,33,Spring
cerise_pink,Cerise Pink,#ec3b83,236,59,131,Spring
champagne,Champagne,#fad6a5,250,214,165,Spring
charm_pink,Charm Pink,#e68fac,230,143,172,Spring
chartreuse_traditional,Chartreuse (Traditional),#dfff00,223,255,0,Spring
cherry_blossom_pink,Cherry Blossom Pink,#ffb7c5,255,183,197,Spring
china_pink,China Pink,#de6fa1,222,111,161,Spring
chrome_yellow,Chrome Yellow,#ffa700,255,167,0,Spring
cinereous,Cinereous,#98817b,152,129,123,Spring
citrine,Citrine,#e4d00a,228,208,10,Spring
classic_rose,Classic Rose,#fbcce7,251,204,231,Spring
congo_pink,Congo Pink,#f88379,248,131,121,Spring
copper_crayola,Copper (Crayola),#da8a67,218,138,103,Spring
coral,Coral,#ff7f50,255,127,80,Spring
coral_pink,Coral Pink,#f88379,248,131,121,Spring
corn,Corn,#fbec5d,251,236,93,Spring
cornsilk,Cornsilk,#fff8dc,255,248,220,Spring
cosmic_latte,Cosmic Latte,#fff8e7,255,248,231,Spring
cotton_candy,Cotton Candy,#ffbcd9,255,188,217,Spring
cream,Cream,#fffdd0,255,253,208,Spring
daffodil,Daffodil,#ffff31,255,255,49,Spring
dandelion,Dandelion,#f0e130,240,225,48,Spring
dark_khaki,Dark Khaki,#bdb76b,189,183,107,Spring
dark_pink,Dark Pink,#e75480,231,84,128,Spring
dark_salmon,Dark Salmon,#e9967a,233,150,122,Spring
dark_tangerine,Dark Tangerine,#ffa812,255,168,18,Spring
