Color,Color Name,hexadecimal value,Red,Green,Blue,Season
air_force_blue_raf,Air Force Blue (Raf),#5d8aa8,93,138,168,Winter
air_force_blue_usaf,Air Force Blue (Usaf),#00308f,0,48,143,Winter
ao_english,Ao (English),#008000,0,128,0,Winter
arsenic,Arsenic,#3b444b,59,68,75,Winter
aurometalsaurus,Aurometalsaurus,#6e7f80,110,127,128,Winter
azure,Azure,#007fff,0,127,255,Winter
black,Black,#000,0,0,0,Winter
black_leather_jacket,Black Leather Jacket,#253529,37,53,41,Winter
blue,Blue,#00f,0,0,255,Winter
blue_green,Blue-Green,#0d98ba,13,152,186,Winter
blue_munsell,Blue (Munsell),#0093af,0,147,175,Winter
blue_ncs,Blue (Ncs),#0087bd,0,135,189,Winter
blue_pigment,Blue (Pigment),#339,51,51,153,Winter
blue_ryb,Blue (Ryb),#0247fe,2,71,254,Winter
blue_sapphire,Blue Sapphire,#126180,18,97,128,Winter
bondi_blue,Bondi Blue,#0095b6,0,149,182,Winter
bottle_green,Bottle Green,#006a4e,0,106,78,Winter
brandeis_blue,Brandeis Blue,#0070ff,0,112,255,Winter
british_racing_green,British Racing Green,#004225,0,66,37,Winter
cadet,Cadet,#536872,83,104,114,Winter
cadmium_green,Cadmium Green,#006b3c,0,107,60,Winter
cal_poly_green,Cal Poly Green,#1e4d2b,30,77,43,Winter
caribbean_green,Caribbean Green,#0c9,0,204,153,Winter
catalina_blue,Catalina Blue,#062a78,6,42,120,Winter
celadon_blue,Celadon Blue,#007ba7,0,123,167,Winter
celadon_green,Celadon Green,#2f847c,47,132,124,Winter
cerulean,Cerulean,#007ba7,0,123,167,Winter
cerulean_blue,Cerulean Blue,#2a52be,42,82,190,Winter
cg_blue,Cg Blue,#007aa5,0,122,165,Winter
charcoal,Charcoal,#36454f,54,69,79,Winter
cobalt,Cobalt,#0047ab,0,71,171,Winter
cool_black,Cool Black,#002e63,0,46,99,Winter
dark_blue,Dark Blue,#00008b,0,0,139,Winter
dark_cerulean,Dark Cerulean,#08457e,8,69,126,Winter
dark_cyan,Dark Cyan,#008b8b,0,139,139,Winter
dark_electric_blue,Dark Electric Blue,#536878,83,104,120,Winter
dark_green,Dark Green,#013220,1,50,32,Winter
dark_imperial_blue,Dark Imperial Blue,#00416a,0,65,106,Winter
dark_jungle_green,Dark Jungle Green,#1a2421,26,36,33,Winter
dark_lavender,Dark Lavender,#734f96,115,79,150,Winter
dark_magenta,Dark Magenta,#8b008b,139,0,139,Winter
dark_midnight_blue,Dark Midnight Blue,#036,0,51,102,Winter
dark_pastel_green,Dark Pastel Green,#03c03c,3,192,60,Winter
dark_powder_blue,Dark Powder Blue,#039,0,51,153,Winter
dark_slate_blue,Dark Slate Blue,#483d8b,72,61,139,Winter
dark_slate_gray,Dark Slate Gray,#2f4f4f,47,79,79,Winter
dark_spring_green,Dark Spring Green,#177245,23,114,69,Winter
dark_violet,Dark Violet,#9400d3,148,0,211,Winter
dartmouth_green,Dartmouth Green,#00703c,0,112,60,Winter
davy_s_grey,Davy'S Grey,#555,85,85,85,Winter
deep_jungle_green,Deep Jungle Green,#004b49,0,75,73,Winter
denim,Denim,#1560bd,21,96,189,Winter
dim_gray,Dim Gray,#696969,105,105,105,Winter
duke_blue,Duke Blue,#00009c,0,0,156,Winter
egyptian_blue,Egyptian Blue,#1034a6,16,52,166,Winter
electric_green,Electric Green,#0f0,0,255,0,Winter
electric_indigo,Electric Indigo,#6f00ff,111,0,255,Winter
electric_ultramarine,Electric Ultramarine,#3f00ff,63,0,255,Winter
electric_violet,Electric Violet,#8f00ff,143,0,255,Winter
emerald,Emerald,#50c878,80,200,120,Winter
feldgrau,Feldgrau,#4d5d53,77,93,83,Winter
forest_green_traditional,Forest Green (Traditional),#014421,1,68,33,Winter
forest_green_web,Forest Green (Web),#228b22,34,139,34,Winter
french_blue,French Blue,#0072bb,0,114,187,Winter
french_lilac,French Lilac,#86608e,134,96,142,Winter
gray,Gray,#808080,128,128,128,Winter
gray_html_css_gray,Gray (Html/Css Gray),#808080,128,128,128,Winter
green_color_wheel_x11_green,Green (Color Wheel) (X11 Green),#0f0,0,255,0,Winter
green_crayola,Green (Crayola),#1cac78,28,172,120,Winter
green_html_css_green,Green (Html/Css Green),#008000,0,128,0,Winter
green_munsell,Green (Munsell),#00a877,0,168,119,Winter
green_ncs,Green (Ncs),#009f6b,0,159,107,Winter
green_pigment,Green (Pigment),#00a550,0,165,80,Winter
guppie_green,Guppie Green,#00ff7f,0,255,127,Winter
han_blue,Han Blue,#446ccf,68,108,207,Winter
han_purple,Han Purple,#5218fa,82,24,250,Winter
honolulu_blue,Honolulu Blue,#007fbf,0,127,191,Winter
hooker_s_green,Hooker'S Green,#49796b,73,121,107,Winter
hunter_green,Hunter Green,#355e3b,53,94,59,Winter
imperial_blue,Imperial Blue,#002395,0,35,149,Winter
indigo,Indigo,#6f00ff,111,0,255,Winter
indigo_dye,Indigo (Dye),#00416a,0,65,106,Winter
indigo_web,Indigo (Web),#4b0082,75,0,130,Winter
international_klein_blue,International Klein Blue,#002fa7,0,47,167,Winter
